Scores,Union por la Patria,Juntos por el Cambio,La Libertad Avanza,Hacemos juntos nuestro Pais,Frente de Izquierda y Trabajadores,Inicio,Final
-5.270000000000001,32.2,37.2,24.2,3.2,3.3,2023-01-06,2023-01-11
-11.078,32.1,37.0,24.3,3.3,3.3,2023-01-11,2023-01-17
-18.8625,32.1,37.0,24.3,3.3,3.3,2023-01-15,2023-01-16
-41.012000000000015,31.9,36.7,24.6,3.4,3.3,2023-01-16,2023-01-22
-19.869499999999988,32.1,36.8,24.5,3.4,3.3,2023-01-19,2023-01-19
-18.603999999999996,31.8,36.4,24.9,3.5,3.4,2023-01-23,2023-02-03
-10.249999999999995,31.6,35.9,25.4,3.7,3.4,2023-02-01,2023-02-01
-19.031999999999996,31.4,35.8,25.6,3.8,3.4,2023-02-02,2023-02-05
-26.642000000000007,31.4,35.7,25.6,3.8,3.4,2023-02-05,2023-02-07
-22.732000000000006,31.1,35.2,26.1,4.1,3.5,2023-02-10,2023-02-16
-22.308000000000003,31.0,35.2,26.2,4.1,3.5,2023-02-12,2023-02-17
-41.19,31.0,35.0,26.3,4.2,3.5,2023-02-14,2023-02-28
-10.651999999999996,31.0,34.9,26.4,4.2,3.5,2023-02-18,2023-02-27
-12.07977777777777,30.2,33.5,27.8,4.9,3.7,2023-02-27,2023-04-13
-10.702000000000002,30.5,34.0,27.3,4.6,3.6,2023-03-01,2023-03-01
-55.64400000000003,30.3,33.7,27.6,4.8,3.7,2023-03-08,2023-03-16
-22.454000000000008,30.3,33.7,27.6,4.8,3.7,2023-03-13,2023-03-18
-37.52400000000001,30.2,33.4,27.8,4.9,3.7,2023-03-27,2023-03-29
-24.022999999999985,30.1,33.2,28.0,5.0,3.7,2023-04-02,2023-04-04
-3.2739999999999996,30.1,33.4,27.8,5.0,3.7,2023-04-02,2023-04-14
-20.074,30.1,33.3,27.9,5.0,3.7,2023-04-05,2023-04-09
-14.819999999999997,30.1,33.4,27.8,5.0,3.7,2023-04-05,2023-04-15
-15.036666666666662,30.1,33.4,27.8,5.0,3.7,2023-04-07,2023-04-15
-21.119999999999997,30.1,33.4,27.8,5.0,3.7,2023-04-10,2023-04-14
-31.596888888888873,30.2,33.5,27.7,4.9,3.7,2023-04-11,2023-04-16
-22.911999999999995,30.5,34.0,27.1,4.8,3.7,2023-04-17,2023-05-07
-23.568000000000005,30.5,34.1,27.0,4.7,3.7,2023-04-22,2023-04-30
-10.976,30.5,34.2,26.9,4.7,3.7,2023-04-27,2023-04-30
-30.591499999999996,31.0,35.0,25.9,4.4,3.6,2023-05-06,2023-05-13
-12.308000000000009,31.1,35.1,25.8,4.4,3.6,2023-05-08,2023-05-13
-22.612222222222222,31.3,35.4,25.5,4.3,3.6,2023-05-09,2023-05-20
-14.606000000000009,31.3,35.6,25.3,4.2,3.6,2023-05-12,2023-05-19
-42.43599999999999,31.4,35.8,25.1,4.1,3.6,2023-05-14,2023-05-22
-22.390000000000008,31.6,36.0,24.9,4.1,3.5,2023-05-18,2023-05-24
-38.42000000000001,31.6,36.1,24.8,4.0,3.5,2023-05-19,2023-05-26
-21.460222222222217,31.9,36.5,24.2,3.9,3.5,2023-05-19,2023-06-06
-18.296000000000003,31.7,36.1,24.7,4.0,3.5,2023-05-20,2023-05-28
-21.049166666666686,32.0,36.7,24.1,3.8,3.5,2023-05-26,2023-06-01
-5.471999999999996,32.3,37.3,23.4,3.6,3.4,2023-05-26,2023-06-09
-28.236000000000008,32.0,36.7,24.0,3.8,3.5,2023-05-28,2023-05-31
-8.170000000000002,32.1,37.1,23.7,3.7,3.5,2023-06-01,2023-06-01
-26.941280000000027,32.2,37.1,23.6,3.6,3.4,2023-06-02,2023-06-05
-28.873999999999988,32.4,37.4,23.2,3.5,3.4,2023-06-05,2023-06-12
-39.784000000000006,32.5,37.5,23.1,3.5,3.4,2023-06-08,2023-06-14
-10.741999999999997,32.6,37.8,22.8,3.4,3.4,2023-06-16,2023-06-16
-12.676000000000005,32.8,38.0,22.6,3.3,3.3,2023-06-25,2023-06-27
-10.959333333333335,32.8,38.0,22.6,3.3,3.3,2023-06-26,2023-06-28
-25.315999999999995,32.8,38.0,22.6,3.3,3.3,2023-06-26,2023-06-29
-17.830000000000002,32.9,38.0,22.6,3.3,3.3,2023-06-27,2023-06-30
-23.865555555555545,32.9,37.9,22.6,3.3,3.3,2023-06-27,2023-07-02
-6.7319999999999975,32.9,38.0,22.6,3.3,3.3,2023-06-28,2023-06-28
-11.258000000000006,32.9,38.0,22.6,3.3,3.3,2023-06-28,2023-06-30
-14.495999999999995,32.8,37.5,23.1,3.3,3.3,2023-06-28,2023-07-07
-8.076000000000004,32.9,37.5,23.0,3.3,3.3,2023-07-01,2023-07-05
-19.18599999999999,32.9,37.4,23.1,3.3,3.3,2023-07-01,2023-07-06
-9.510000000000002,32.8,37.2,23.3,3.3,3.3,2023-07-04,2023-07-07
-29.67799999999999,32.8,37.1,23.5,3.3,3.3,2023-07-04,2023-07-11
-11.04399999999999,32.8,36.8,23.7,3.4,3.3,2023-07-05,2023-07-12
-32.58000000000002,32.7,36.6,24.0,3.4,3.3,2023-07-05,2023-07-18
-13.843999999999994,32.8,37.2,23.4,3.3,3.3,2023-07-06,2023-07-06
-17.163999999999994,32.8,37.1,23.5,3.3,3.3,2023-07-07,2023-07-07
-9.854,32.7,36.7,23.9,3.4,3.3,2023-07-08,2023-07-12
-16.054000000000002,32.6,35.3,25.3,3.6,3.3,2023-07-12,2023-07-27
-20.541999999999998,32.7,35.8,24.8,3.5,3.3,2023-07-14,2023-07-21
-10.674444444444436,32.7,35.8,24.8,3.5,3.3,2023-07-15,2023-07-19
-15.172,32.6,35.6,24.9,3.5,3.3,2023-07-17,2023-07-21
-15.536000000000005,32.5,34.7,25.9,3.6,3.2,2023-07-20,2023-07-25
-7.020888888888886,32.5,34.6,26.0,3.7,3.2,2023-07-22,2023-07-29
-18.37399999999999,32.5,34.8,25.8,3.6,3.3,2023-07-23,2023-07-23
-34.248000000000005,32.5,34.4,26.1,3.7,3.2,2023-07-24,2023-07-29
-12.049499999999993,32.5,34.3,26.3,3.7,3.2,2023-07-24,2023-07-31
-19.932,32.5,34.4,26.2,3.7,3.2,2023-07-25,2023-07-27
-9.286,32.5,34.3,26.3,3.7,3.2,2023-07-25,2023-07-29
-16.397999999999993,32.4,33.9,26.7,3.7,3.2,2023-07-25,2023-08-02
-17.306000000000004,32.2,32.9,27.8,3.9,3.2,2023-07-31,2023-08-03
-10.450000000000001,32.2,32.9,27.8,3.9,3.2,2023-07-31,2023-08-04
-23.471999999999998,32.3,33.2,27.5,3.8,3.2,2023-08-01,2023-08-01
-6.776039999999999,32.0,31.3,29.4,4.1,3.2,2023-08-13,2023-08-13
-28.387999999999998,32.0,31.0,29.7,4.1,3.2,2023-08-13,2023-08-25
-11.981999999999992,32.0,31.2,29.5,4.1,3.2,2023-08-14,2023-08-16
-24.926000000000005,31.9,30.8,30.0,4.2,3.2,2023-08-16,2023-08-17
-31.705999999999996,31.9,30.8,30.0,4.2,3.2,2023-08-16,2023-08-18
-24.858000000000008,31.8,30.5,30.3,4.2,3.2,2023-08-18,2023-08-21
-9.500000000000005,31.8,29.8,30.9,4.3,3.2,2023-08-22,2023-08-30
-64.238,31.8,29.7,31.0,4.3,3.2,2023-08-22,2023-08-31
-6.554000000000004,31.6,28.8,31.9,4.4,3.2,2023-08-29,2023-09-04
-16.020500000000006,31.6,28.8,31.9,4.4,3.2,2023-09-01,2023-09-01
-10.210000000000003,31.6,28.7,32.0,4.5,3.2,2023-09-01,2023-09-03
-0.35200000000000126,31.5,27.8,32.9,4.6,3.2,2023-09-01,2023-09-20
-14.556000000000003,31.6,28.5,32.3,4.5,3.2,2023-09-03,2023-09-05
-5.1080000000000005,31.6,28.2,32.5,4.5,3.2,2023-09-04,2023-09-10
-1.6380000000000028,31.6,28.2,32.5,4.5,3.2,2023-09-06,2023-09-08
-4.076000000000002,31.5,27.7,33.1,4.6,3.1,2023-09-09,2023-09-18
-10.142,31.5,27.5,33.2,4.6,3.1,2023-09-11,2023-09-20
-1.1899999999999997,31.5,27.0,33.7,4.7,3.1,2023-09-14,2023-09-25
-3.8460000000000014,31.5,27.1,33.6,4.7,3.1,2023-09-16,2023-09-21
-2.154499999999999,31.5,26.8,33.9,4.7,3.1,2023-09-20,2023-09-25
-0.42800000000000027,31.4,26.5,34.2,4.8,3.1,2023-09-21,2023-09-29
-4.478,31.4,26.8,33.9,4.7,3.1,2023-09-22,2023-09-22
-4.396000000000001,31.4,26.5,34.2,4.8,3.1,2023-09-25,2023-09-28
-12.142000000000003,31.3,25.7,35.0,4.9,3.1,2023-09-28,2023-10-03
-3.0680000000000027,31.3,25.7,35.0,4.9,3.1,2023-09-30,2023-10-07
-5.595999999999999,31.3,25.7,35.0,4.9,3.1,2023-10-02,2023-10-05
-6.4319999999999995,31.3,25.3,35.4,4.9,3.1,2023-10-02,2023-10-11
-1.9140000000000015,31.3,25.6,35.1,4.9,3.1,2023-10-03,2023-10-04
-1.3140000000000007,31.3,25.2,35.5,4.9,3.1,2023-10-03,2023-10-09
-8.928000000000003,31.3,25.2,35.5,4.9,3.1,2023-10-07,2023-10-10
-30.564,31.3,25.2,35.4,4.9,3.1,2023-10-08,2023-10-10
-2.5524444444444443,31.3,25.2,35.5,4.9,3.1,2023-10-09,2023-10-11
-7.6,31.3,25.2,35.5,4.9,3.1,2023-10-09,2023-10-12
-21.68000000000001,31.2,25.1,35.6,5.0,3.1,2023-10-10,2023-10-13
-6.062000000000003,31.2,24.6,36.1,5.0,3.1,2023-10-17,2023-10-19
-4.551999999999999,31.1,24.5,36.3,5.0,3.1,2023-10-20,2023-10-20
-15.056300000000004,31.2,24.3,36.4,5.1,3.1,2023-10-22,2023-10-22
