Union por la Patria,Juntos por el Cambio,La Libertad Avanza,Hacemos juntos nuestro Pais,Frente de Izquierda y Trabajadores,Inicio,Final
25.628,32.816,21.463,3.3,2.674,2022-12-25,2023-01-06
26.366,32.801,21.395,3.297,2.685,2022-12-26,2023-01-03
26.935,32.757,21.239,3.295,2.695,2023-01-06,2023-01-11
27.357,32.683,21.034,3.293,2.705,2023-01-11,2023-01-17
27.65,32.577,20.81,3.291,2.716,2023-01-15,2023-01-16
27.831,32.441,20.591,3.289,2.725,2023-01-16,2023-01-22
27.918,32.276,20.397,3.288,2.735,2023-01-19,2023-01-19
27.924,32.083,20.243,3.287,2.744,2023-01-23,2023-02-03
27.864,31.866,20.137,3.286,2.754,2023-02-01,2023-02-01
27.749,31.627,20.086,3.285,2.762,2023-02-02,2023-02-05
27.592,31.37,20.093,3.285,2.771,2023-02-05,2023-02-07
27.403,31.098,20.158,3.284,2.78,2023-02-10,2023-02-16
27.19,30.817,20.279,3.284,2.788,2023-02-12,2023-02-17
26.962,30.531,20.452,3.285,2.796,2023-02-14,2023-02-28
26.726,30.243,20.672,3.285,2.804,2023-02-18,2023-02-27
26.488,29.958,20.932,3.286,2.811,2023-02-27,2023-04-13
26.256,29.681,21.225,3.286,2.819,2023-03-08,2023-03-16
26.032,29.415,21.541,3.287,2.826,2023-03-27,2023-03-29
25.821,29.164,21.874,3.289,2.832,2023-04-02,2023-04-04
25.628,28.932,22.215,3.29,2.839,2023-04-02,2023-04-14
25.453,28.722,22.555,3.292,2.846,2023-04-05,2023-04-09
25.301,28.537,22.886,3.294,2.852,2023-04-05,2023-04-15
25.173,28.381,23.201,3.296,2.858,2023-04-07,2023-04-15
25.069,28.254,23.492,3.299,2.863,2023-04-10,2023-04-14
24.99,28.159,23.754,3.301,2.869,2023-04-11,2023-04-16
24.938,28.098,23.979,3.304,2.874,2023-04-17,2023-05-07
24.911,28.071,24.165,3.307,2.879,2023-04-22,2023-04-30
24.91,28.078,24.306,3.31,2.884,2023-04-27,2023-04-30
24.934,28.121,24.399,3.314,2.888,2023-05-06,2023-05-13
24.982,28.197,24.443,3.318,2.893,2023-05-08,2023-05-13
25.052,28.307,24.436,3.322,2.897,2023-05-09,2023-05-20
25.144,28.449,24.377,3.326,2.901,2023-05-12,2023-05-19
25.255,28.622,24.269,3.33,2.904,2023-05-14,2023-05-22
25.385,28.823,24.111,3.335,2.908,2023-05-18,2023-05-24
25.53,29.051,23.907,3.34,2.911,2023-05-19,2023-05-26
25.689,29.301,23.66,3.345,2.914,2023-05-19,2023-06-06
25.861,29.571,23.372,3.35,2.917,2023-05-20,2023-05-28
26.043,29.858,23.05,3.356,2.919,2023-05-26,2023-06-01
26.232,30.159,22.699,3.362,2.921,2023-05-26,2023-06-09
26.428,30.468,22.323,3.368,2.923,2023-06-02,2023-06-05
26.627,30.782,21.929,3.374,2.925,2023-06-05,2023-06-12
26.829,31.098,21.524,3.381,2.927,2023-06-08,2023-06-14
27.03,31.41,21.114,3.387,2.928,2023-06-25,2023-06-27
27.228,31.715,20.706,3.394,2.929,2023-06-26,2023-06-29
27.423,32.008,20.308,3.401,2.93,2023-06-27,2023-06-30
27.613,32.286,19.926,3.409,2.931,2023-06-27,2023-07-02
27.795,32.543,19.567,3.416,2.931,2023-06-28,2023-06-30
27.969,32.776,19.239,3.424,2.931,2023-06-28,2023-07-07
28.132,32.982,18.948,3.432,2.931,2023-07-01,2023-07-05
28.285,33.156,18.699,3.441,2.931,2023-07-01,2023-07-06
28.425,33.296,18.499,3.449,2.931,2023-07-04,2023-07-07
28.552,33.398,18.354,3.458,2.93,2023-07-04,2023-07-11
28.665,33.46,18.268,3.467,2.929,2023-07-05,2023-07-12
28.764,33.48,18.244,3.476,2.928,2023-07-05,2023-07-18
28.849,33.456,18.287,3.485,2.926,2023-07-06,2023-07-06
28.918,33.387,18.399,3.495,2.925,2023-07-08,2023-07-12
28.973,33.272,18.582,3.505,2.923,2023-07-12,2023-07-27
29.012,33.11,18.837,3.515,2.921,2023-07-14,2023-07-21
29.037,32.903,19.164,3.525,2.918,2023-07-15,2023-07-19
29.049,32.65,19.562,3.536,2.916,2023-07-17,2023-07-21
29.047,32.354,20.03,3.546,2.913,2023-07-20,2023-07-25
29.032,32.017,20.565,3.557,2.91,2023-07-23,2023-07-23
29.006,31.64,21.164,3.569,2.907,2023-07-24,2023-07-29
28.969,31.228,21.822,3.58,2.903,2023-07-24,2023-07-31
28.923,30.784,22.534,3.592,2.899,2023-07-25,2023-07-27
28.87,30.312,23.293,3.604,2.895,2023-07-25,2023-07-29
28.809,29.817,24.094,3.616,2.891,2023-07-25,2023-08-02
28.744,29.305,24.927,3.628,2.887,2023-07-31,2023-08-03
28.675,28.78,25.784,3.641,2.882,2023-08-01,2023-08-01
28.604,28.251,26.658,3.653,2.877,2023-08-13,2023-08-25
28.534,27.722,27.537,3.666,2.872,2023-08-14,2023-08-16
28.465,27.201,28.412,3.68,2.867,2023-08-16,2023-08-17
28.399,26.694,29.274,3.693,2.861,2023-08-16,2023-08-18
28.339,26.208,30.11,3.707,2.856,2023-08-18,2023-08-21
28.285,25.751,30.912,3.721,2.85,2023-08-22,2023-08-30
28.24,25.328,31.669,3.735,2.843,2023-08-22,2023-08-31
28.205,24.947,32.37,3.749,2.837,2023-08-29,2023-09-04
28.18,24.613,33.007,3.764,2.83,2023-09-01,2023-09-01
28.169,24.332,33.571,3.779,2.823,2023-09-01,2023-09-20
28.171,24.109,34.053,3.794,2.816,2023-09-03,2023-09-05
28.187,23.946,34.447,3.809,2.809,2023-09-04,2023-09-10
28.219,23.847,34.748,3.824,2.801,2023-09-06,2023-09-08
28.266,23.812,34.952,3.84,2.793,2023-09-09,2023-09-18
28.328,23.841,35.056,3.856,2.785,2023-09-11,2023-09-20
28.406,23.931,35.061,3.872,2.777,2023-09-14,2023-09-25
28.499,24.077,34.97,3.889,2.768,2023-09-16,2023-09-21
28.605,24.272,34.788,3.905,2.759,2023-09-20,2023-09-25
28.723,24.507,34.524,3.922,2.75,2023-09-21,2023-09-29
28.851,24.768,34.189,3.939,2.741,2023-09-25,2023-09-28
28.986,25.038,33.799,3.956,2.732,2023-09-28,2023-10-03
29.126,25.296,33.373,3.974,2.722,2023-09-30,2023-10-07
29.267,25.519,32.937,3.992,2.712,2023-10-02,2023-10-05
29.404,25.675,32.518,4.01,2.702,2023-10-02,2023-10-11
29.532,25.731,32.151,4.028,2.691,2023-10-03,2023-10-04
29.646,25.646,31.876,4.046,2.681,2023-10-03,2023-10-09
29.738,25.374,31.74,4.065,2.67,2023-10-07,2023-10-10
29.801,24.86,31.793,4.084,2.659,2023-10-08,2023-10-10
29.827,24.045,32.097,4.103,2.648,2023-10-09,2023-10-11
